SampleDate;estimate;uncertainty_lower;uncertainty_upper
26-03-2020;0,8;0,6;1
27-03-2020;0,8;0,7;1
28-03-2020;0,8;0,7;1
29-03-2020;0,8;0,6;1
30-03-2020;0,8;0,7;0,9
31-03-2020;0,8;0,6;0,9
01-04-2020;0,8;0,6;0,9
02-04-2020;0,8;0,6;0,9
03-04-2020;0,8;0,6;0,9
04-04-2020;0,8;0,6;0,9
05-04-2020;0,8;0,6;0,9
06-04-2020;0,8;0,6;0,9
07-04-2020;0,7;0,6;0,9
08-04-2020;0,7;0,6;0,9
09-04-2020;0,7;0,6;0,9
10-04-2020;0,7;0,6;0,9
11-04-2020;0,7;0,6;0,9
12-04-2020;0,7;0,6;0,8
13-04-2020;0,7;0,5;0,8
14-04-2020;0,7;0,5;0,8
15-04-2020;0,7;0,5;0,8
16-04-2020;0,7;0,5;0,8
17-04-2020;0,7;0,5;0,8
18-04-2020;0,7;0,5;0,8
19-04-2020;0,7;0,6;0,8
20-04-2020;0,7;0,6;0,8
21-04-2020;0,7;0,6;0,8
22-04-2020;0,7;0,6;0,9
23-04-2020;0,7;0,6;0,9
24-04-2020;0,8;0,6;0,9
25-04-2020;0,8;0,6;0,9
26-04-2020;0,8;0,6;0,9
27-04-2020;0,8;0,6;0,9
28-04-2020;0,8;0,7;0,9
29-04-2020;0,8;0,7;0,9
30-04-2020;0,8;0,7;0,9
01-05-2020;0,8;0,7;0,9
02-05-2020;0,8;0,7;0,9
03-05-2020;0,8;0,7;0,9
04-05-2020;0,8;0,7;0,9
05-05-2020;0,8;0,7;0,9
06-05-2020;0,8;0,7;1
07-05-2020;0,8;0,7;1
08-05-2020;0,9;0,7;1
09-05-2020;0,8;0,7;1
10-05-2020;0,9;0,7;1
11-05-2020;0,8;0,7;1
12-05-2020;0,8;0,7;1
13-05-2020;0,8;0,7;1
14-05-2020;0,8;0,7;1
15-05-2020;0,9;0,7;1
16-05-2020;0,8;0,7;1
17-05-2020;0,9;0,7;1
18-05-2020;0,9;0,7;1
19-05-2020;0,9;0,7;1
20-05-2020;0,9;0,7;1
21-05-2020;0,9;0,8;1
22-05-2020;0,9;0,8;1
23-05-2020;0,9;0,8;1
24-05-2020;0,9;0,8;1
25-05-2020;0,9;0,8;1
26-05-2020;0,9;0,8;1
27-05-2020;0,9;0,8;1
28-05-2020;0,9;0,8;1
29-05-2020;0,9;0,8;1
30-05-2020;0,9;0,8;1
31-05-2020;0,9;0,8;1
01-06-2020;0,9;0,8;1,1
02-06-2020;0,9;0,8;1,1
03-06-2020;1;0,8;1,1
04-06-2020;1;0,8;1,1
05-06-2020;0,9;0,8;1,1
06-06-2020;0,9;0,8;1,1
07-06-2020;0,9;0,8;1,1
08-06-2020;0,9;0,8;1,1
09-06-2020;0,9;0,8;1,1
10-06-2020;0,9;0,8;1
11-06-2020;0,9;0,8;1
12-06-2020;0,9;0,7;1
13-06-2020;0,8;0,7;1
14-06-2020;0,8;0,7;1
15-06-2020;0,8;0,7;1
16-06-2020;0,8;0,7;1
17-06-2020;0,8;0,7;1
18-06-2020;0,8;0,7;1
19-06-2020;0,8;0,7;1
20-06-2020;0,8;0,7;1
21-06-2020;0,9;0,7;1
22-06-2020;0,9;0,7;1
23-06-2020;0,9;0,8;1
24-06-2020;0,9;0,8;1,1
25-06-2020;1;0,8;1,1
26-06-2020;1;0,9;1,1
27-06-2020;1;0,9;1,2
28-06-2020;1,1;0,9;1,2
29-06-2020;1,1;1;1,2
30-06-2020;1,1;1;1,3
01-07-2020;1,2;1;1,3
02-07-2020;1,2;1;1,3
03-07-2020;1,2;1;1,3
04-07-2020;1,2;1;1,3
05-07-2020;1,2;1;1,3
06-07-2020;1,2;1;1,3
07-07-2020;1,2;1;1,3
08-07-2020;1,2;1;1,3
09-07-2020;1,1;1;1,3
10-07-2020;1,1;1;1,3
11-07-2020;1,1;1;1,3
12-07-2020;1,1;1;1,2
13-07-2020;1,1;1;1,2
14-07-2020;1,1;1;1,3
15-07-2020;1,1;1;1,3
16-07-2020;1,1;1;1,3
17-07-2020;1,2;1;1,3
18-07-2020;1,2;1;1,3
19-07-2020;1,2;1;1,3
20-07-2020;1,2;1,1;1,3
21-07-2020;1,2;1,1;1,3
22-07-2020;1,2;1,1;1,3
23-07-2020;1,2;1,1;1,3
24-07-2020;1,2;1;1,3
25-07-2020;1,2;1;1,3
26-07-2020;1,2;1;1,3
27-07-2020;1,2;1;1,3
28-07-2020;1,1;1;1,3
29-07-2020;1,1;1;1,2
30-07-2020;1,1;1;1,2
31-07-2020;1,1;0,9;1,2
01-08-2020;1;0,9;1,2
02-08-2020;1;0,9;1,1
03-08-2020;1;0,8;1,1
04-08-2020;1;0,8;1,1
05-08-2020;0,9;0,8;1,1
06-08-2020;0,9;0,8;1,1
07-08-2020;0,9;0,8;1,1
08-08-2020;0,9;0,8;1,1
09-08-2020;0,9;0,8;1,1
10-08-2020;0,9;0,8;1,1
11-08-2020;0,9;0,8;1,1
12-08-2020;0,9;0,8;1,1
13-08-2020;1;0,8;1,1
14-08-2020;1;0,8;1,1
15-08-2020;1;0,9;1,1
16-08-2020;1;0,9;1,2
17-08-2020;1;0,9;1,2
18-08-2020;1,1;0,9;1,2
19-08-2020;1,1;1;1,2
20-08-2020;1,2;1;1,3
21-08-2020;1,2;1,1;1,3
22-08-2020;1,2;1,1;1,4
23-08-2020;1,2;1,1;1,4
24-08-2020;1,3;1,1;1,4
25-08-2020;1,3;1,1;1,4
26-08-2020;1,3;1,1;1,4
27-08-2020;1,3;1,1;1,4
28-08-2020;1,3;1,1;1,4
29-08-2020;1,3;1,1;1,4
30-08-2020;1,2;1,1;1,4
31-08-2020;1,2;1,1;1,4
01-09-2020;1,2;1,1;1,3
02-09-2020;1,2;1,1;1,3
03-09-2020;1,2;1,1;1,3
04-09-2020;1,2;1,1;1,3
05-09-2020;1,2;1;1,3
06-09-2020;1,2;1;1,3
07-09-2020;1,2;1;1,3
08-09-2020;1,2;1;1,3
09-09-2020;1,2;1;1,3
10-09-2020;1,1;1;1,3
11-09-2020;1,1;1;1,3
